"Country","Code","Year","GDP","Growth","CPI","Imports","Exports","Population"
"Switzerland","CHE",1981,108993981315.548,1.6013358815068,57.748646776155,48.3830611977852,49.1605056221101,6354074
"Switzerland","CHE",1982,111711490075.358,-1.30941744028873,61.0143920263847,44.339421315317,45.1190037200756,6391309
"Switzerland","CHE",1983,111314328474.108,0.639079447841667,62.8142144992224,44.6365941353544,43.7723095746042,6418773
"Switzerland","CHE",1984,106285277141.763,3.00845643150276,64.6555729942435,45.0222206153682,48.0909451084721,6441865
"Switzerland","CHE",1985,107766112124.049,3.67359591752461,66.8767439986607,45.7279156184659,48.5612142706934,6470365
"Switzerland","CHE",1986,154482372838.957,1.85863278232983,67.3785261407811,43.6384502267296,44.65650297757,6504124
"Switzerland","CHE",1987,193466104144.313,1.58547816999177,68.3489982041575,40.3095803317192,41.849852404441,6545106
"Switzerland","CHE",1988,209298156700.608,3.27759624863533,69.6288052903322,41.5161920783508,43.0734917177763,6593386
"Switzerland","CHE",1989,202078703955.009,4.33079404200814,71.8257953942946,44.0817847893737,45.6041699304829,6646912
"Switzerland","CHE",1990,258066552980.132,3.67462563846016,75.7072283248596,41.5923280664341,42.1098164245959,6715519
"Switzerland","CHE",1991,261113787377.964,-0.915816562607745,80.143358427861,38.7489363499253,40.4950927693834,6799978
"Switzerland","CHE",1992,271814366804.153,-0.0437330077844109,83.3787531517901,38.4215198858183,41.4118928485778,6875364
"Switzerland","CHE",1993,264353008121.278,-0.125983540861199,86.124106560854,37.0492549619147,41.4287174127057,6938265
"Switzerland","CHE",1994,292646657673.466,1.26975769258722,86.8580058334999,36.2491441369151,40.7031823345215,6993795
"Switzerland","CHE",1995,342617007103.594,0.480866443023857,88.4212758425243,36.4136498748625,40.6819929392278,7040687
"Switzerland","CHE",1996,330091688349.515,0.540027604869181,89.1389542354099,37.9293118379504,41.7408536888844,7071850
"Switzerland","CHE",1997,286519135326.948,2.34014988367215,89.602668127386,42.1313133283632,47.2415937350655,7088906
"Switzerland","CHE",1998,295045152020.968,2.98989184573122,89.6187507841108,42.1644851628184,46.7018073429387,7110001
"Switzerland","CHE",1999,289912492344.561,1.69471983381533,90.3414783831775,42.6628089075841,47.4124158629753,7143991
"Switzerland","CHE",2000,272055499940.786,3.93682345267324,91.7494670079095,45.9876943199976,52.117902695398,7184250
"Switzerland","CHE",2001,278631271391.325,1.31242366891367,92.6568849747739,45.2743614267113,50.8893428605111,7229854
"Switzerland","CHE",2002,301416810214.295,0.162612902402543,93.2523985965321,42.2160470920123,48.9369871208892,7284753
"Switzerland","CHE",2003,352914820747.011,0.0395765677434667,93.8476276414524,41.4214581877893,48.108443265943,7339001
"Switzerland","CHE",2004,394163688620.828,2.77622350049076,94.6011139313128,42.5215139474605,51.4710395673816,7389625
"Switzerland","CHE",2005,408689353999.357,3.11524552972648,95.7097927687074,46.5393424901655,53.7904711184196,7437115
"Switzerland","CHE",2006,430921192375.179,3.98863422067916,96.7238620036502,48.0266670286458,56.491170130098,7483934
"Switzerland","CHE",2007,479913034321.893,4.11187781207605,97.4322062762527,50.0072114031856,61.3036352416833,7551117
"Switzerland","CHE",2008,554363487120.303,2.1547018611349,99.7959584072251,52.1182314008043,62.6611637286847,7647675
"Switzerland","CHE",2009,541506500413.565,-2.22210712097447,99.3164708276625,49.6997121787778,57.2304543380503,7743831
"Switzerland","CHE",2010,583782977866.405,3.00269910775171,100,53.2865076015521,63.9656690953886,7824909
"Switzerland","CHE",2011,699579638638.226,1.69280849515039,100.231336576913,57.0306712979555,65.4655013482063,7912398
"Switzerland","CHE",2012,668043614122.87,1.00602409742663,99.5371886231384,56.6487537948565,67.0336106087201,7996861
"Switzerland","CHE",2013,688504173431.454,1.85203975735246,99.3208858340333,59.8716088248131,71.9249426179144,8089346
"Switzerland","CHE",2014,709182559935.301,2.44921809651646,99.3077465148891,52.5864049136553,64.273711403362,8188649
"Switzerland","CHE",2015,679289166858.236,1.22638435945626,98.1717645625896,50.6298772169317,62.1382822701731,8282396
"Switzerland","CHE",2016,668745279604.532,1.37588449583828,97.7451025749081,54.588901381703,65.8113126711974,8373338
"Switzerland","CHE",2017,678887336848.252,1.08679221938421,98.2668620110493,53.9274733029777,64.9767345381713,8466017
