SKU,precio,unidades
747023,0,23
56062,61.25,47
608348,0,31
766351,0,18
254149,82.95,70
532087,76.95,47
664111,242.95,47
583698,26.6,25
236714,55,36
105606,220,17
210943,23.95,34
347484,89,80
643881,261.95,17
56911,73.95,44
110244,35,196
110355,17.09,43
696686,0,23
540784,244.8,130
132925,84.6,44
552629,232.45,70
288729,182,23
146451,203.67,34
540945,119,20
164013,39.98,50
52199,423.95,68
254077,233.95,27
387939,0,18
187869,99.95,18
276246,58,20
237416,64.95,27
50463,108.95,50
224368,36.95,39
55142,82,61
613665,146.36,122
635629,173.13,36
51930,108.6,51
630857,186.67,17
53753,95,31
755762,58.54,32
629562,43.46,29
178724,139.95,62
766965,126.95,13
178898,95.95,64
51140,348.95,57
182877,87.95,38
142049,87.5,14
164116,157.95,35
51498,228,48
526853,36.89,61
606719,125,43
109905,55.83,24
105359,104.5,19
533672,143.73,20
435051,199.07,28
452930,203.95,92
54656,23.48,74
192404,62.95,42
296040,37.95,43
52752,152.67,29
130596,197.87,26
534651,81.95,79
169212,393.95,54
595600,180,67
106538,34.95,44
145384,73.8,30
50186,100.95,34
60200,271.95,39
613288,0,9
561492,193.27,18
50994,33.99,52
52304,223.95,90
111423,91.99,33
55358,341.95,20
146221,168.4,110
528729,120.95,73
244429,293.95,30
182533,204.95,113
110614,33.86,64
619761,48.99,25
50518,13.99,138
54441,62.95,64
162649,23.44,41
60083,123.8,40
624650,147.73,47
534035,39.95,107
132743,50.6,53
539367,252.13,32
610333,97.95,76
163064,24.67,71
146679,180,20
50618,117.66,78
51288,120.8,82
131348,75.6,23
145502,46.67,46
178698,75.95,63
203340,56.95,49
264261,39.95,72
2836710,108.95,18
2855368,32.95,16
293178,47,24
51594,264.95,62
52766,70,39
555578,49.95,82
56902,31.99,144
700843,42.95,16
717654,101.95,29
860759,167.4,16
870579,0,26
874255,21.95,34
105556,89.95,30
113991,147,35
183635,87.95,26
2410208,45,110
2778692,0,13
308852,6.89,44
557118,46,31
616344,185.95,18
618480,95.75,27
629794,0,21
867983,127.6,33
871088,70.8,93
874266,63.95,42
877257,59.95,34
704300,17.23,38
699076,96.75,16
108299,6.9,69
618253,46.11,26
699408,30.38,11
112149,110.75,38
607431,89.93,94
715650,81,32
561253,46.67,18
51339,220,54
57443,94.8,52
120759,145.6,53
874914,0,14
1451943,212.27,15
871146,56,144
612137,188,163
607367,96,46
426363,99,46
131780,90,33
121485,75.6,38
557487,88.8,32
534646,86.95,50
166040,90,63
2619182,153.95,24
2751459,35,19
56317,4,56
696751,40.59,19
766350,271.95,44
179156,84.95,23
543356,162.95,21
177798,32.95,30
587572,0,15
630140,69.99,42
899220,85.95,19
264513,29,13
774184,15.99,52
774760,49.95,49
271068,149.99,28
254019,85.95,68
2262567,87.8,52
142060,13.98,76
872473,23.95,31
258373,55,25
875292,20,34
646344,41,25
115355,117.6,29
165415,10.98,36
177340,86.95,43
193647,136,42
203318,129,27
2876653,59,23
296671,165.5,68
358303,44.95,32
57786,27.95,49
60607,55.56,57
607146,118.33,30
615849,55,27
874752,98,29
118319,213.4,77
133432,205.6,37
199115,69.95,34
2593310,24.95,15
515866,187.6,48
549494,112,31
57380,180.95,48
60436,71.95,52
637316,49.95,26
875368,70.2,60
534073,59,32
110410,141.25,33
111019,86.71,28
109607,67.75,22
109068,45,43
696702,0,26
551107,380.25,42
120046,165.6,26
286311,155.6,12
908582,63.24,18
2271658,110,31
629299,152.07,14
537277,257.13,17
1467498,42,26
710671,60,23
143445,81.5,13
625880,169.33,22
915525,91.6,22
616025,53.95,83
623686,36.95,43
747024,57.64,30
2422756,0,16
54343,84.95,74
165250,80,108
162822,18.98,56
148726,193.95,19
366508,69.95,38
53561,186.95,71
251152,198.95,33
626125,49.99,42
868651,65,61
305674,133.75,16
878450,202.05,61
873457,0,30
131380,74.6,40
178246,178.95,33
51360,367.95,93
549533,79.95,38
574536,92,18
608494,53.25,24
711183,106.67,41
178900,169.95,48
55379,46.9,48
57399,149.95,79
608033,224.95,48
763663,134.95,66
120808,150.07,19
561545,85.75,33
53560,123.6,34
533760,207.2,169
294978,63.8,72
144629,59.99,35
622213,205.33,18
146691,253.4,23
200055,68.95,25
615083,44.95,53
609368,34.95,93
254691,42.95,17
920647,27.95,51
53051,308.95,86
56050,120,48
576780,97.24,113
609114,101.95,24
869880,0,14
121436,91,30
177691,121.95,43
278561,42.95,25
51404,123.33,78
534355,15.96,26
57864,111.95,76
607272,133.4,43
55367,116,88
147669,102,20
586770,38,32
624707,241.75,66
529412,70.95,19
106789,35,294
169894,201.95,62
57418,74.95,50
60395,87.2,38
61168,13.87,94
619239,171.95,30
60834,18.75,44
58450,146.33,56
613809,34.92,112
120835,175.27,30
119493,244.8,142
435033,205.07,28
222255,65,28
617205,70.95,28
330862,0,22
252770,98.75,17
132763,159.2,49
178166,324.95,89
54335,112,87
630586,99.95,30
60558,99.95,79
111352,0,11
146209,221.73,40
329878,41.2,67
52037,393.95,57
54119,313.95,47
50581,70.24,79
111442,61.98,20
54821,145.95,103
244223,250.95,47
184604,66.95,21
55409,186.95,77
54896,88.95,84
561588,175.4,34
50517,13.99,122
53869,286.95,88
111648,153.98,45
53020,178.53,378
534356,134,139
51788,255.95,262
54795,76.5,85
111426,95.62,18
53891,211.95,148
53180,19.99,35
54904,25,337
117918,123.75,54
880014,28.98,36
108464,24.38,44
527702,33.98,33
618094,0,40
515908,100.6,41
435034,281.8,616
526202,255.95,53
608545,81.95,42
304114,120.95,62
296511,64.95,55
734734,89,19
467300,19.97,59
53444,342.95,177
537920,68.2,44
574353,13.98,51
609160,84.95,74
202317,227.95,19
773067,61.95,23
550994,86.03,30
916780,142.6,19
120721,226.67,18
607776,48.95,44
217762,62.99,23
879159,139.95,33
904581,24.95,15
121905,45.33,54
123960,156.95,47
185354,29.39,122
868232,479.24,19
914033,0,23
873508,39.95,38
537896,47,39
553061,177.5,43
222809,56,26
705167,17.99,45
706099,10.22,28
58409,72.95,39
861104,63,29
114184,118,82
141905,18.99,79
162607,13.02,89
177844,106.95,42
60908,20.99,52
54651,78,47
291323,27.95,95
177465,257.95,50
198019,44.4,26
60157,110,52
61165,18.94,110
617937,127.9,27
50572,78.95,42
534004,185,64
60068,115.95,51
614660,54.95,67
111278,45.72,17
170113,96.95,31
570465,119.95,33
60101,113.95,58
60602,116,65
624296,268.95,22
192109,23.94,54
574321,84.95,43
608735,39.99,45
286111,123,97
146619,200,14
52114,132.95,98
534062,143,55
51783,255.95,35
50514,8.49,89
540418,114,56
50431,261.95,88
51792,110,86
57279,161.95,107
608972,111.95,36
727162,40,39
618497,61,16
133081,75.6,47
178720,246.95,20
567678,177.95,56
594633,24.95,40
154075,62.5,43
614771,39.99,125
243995,187.95,38
534281,23,80
56225,72.95,92
53050,202.95,53
51744,8.49,154
51728,14.99,158
623896,128.2,16
145889,244.6,851
758332,49.95,47
51380,23.99,84
193357,84.95,19
55279,77.95,45
763678,98.95,68
110417,200,337
880385,50,72
109412,5.45,68
110152,8.98,43
113752,113.33,57
114046,110.67,41
117326,58.6,48
130745,59,37
177307,123.95,53
196636,78.95,39
237505,70,20
245220,222.95,124
285707,109,22
285819,142.67,89
293105,39.95,46
330184,206.95,21
339796,18.26,58
51523,152.67,54
533988,217.95,60
53834,67.95,92
550166,223.75,47
554049,67.2,50
56681,274.95,82
57238,19.95,52
572397,0,38
579478,0,88
60088,108.95,53
61016,17.98,58
61138,82.2,56
621010,59,63
743246,64.95,42
119357,193,31
148651,209.95,31
177262,88.95,25
178944,95.95,50
184044,198.95,30
222333,40,24
246279,46.95,16
264881,69.95,18
423090,54.2,23
435965,273.95,30
51252,96,64
537905,173.33,41
538003,42.5,15
538014,207.95,40
56085,10.94,59
56336,39.95,43
57686,52.95,32
60008,278.95,26
60719,114,21
631594,59.95,32
788170,251.95,21
107636,111.74,33
105610,47.95,25
108132,172,39
108456,157.19,23
614352,189.6,39
109758,52.63,31
110988,49.98,29
417095,0,33
550990,145.72,14
111594,302,25
416505,19.89,42
533761,112.99,56
537903,90.6,20
119241,116.73,46
314967,162.47,19
54618,118.6,78
115979,124.95,22
145685,54.99,183
145730,237,48
625217,231.67,25
533340,155.6,21
117394,151,28
537910,89.5,33
127262,47.95,25
132594,70.67,28
145434,115.2,37
51994,55,43
115510,94,35
135554,38.95,78
284447,75,24
742819,169.33,20
147006,71.95,41
153824,6.14,51
60923,9.4,26
183766,145.95,35
169663,195.95,22
817477,15.95,35
60810,174.95,29
50396,228.95,56
608344,59.95,49
613407,0,124
162936,119.75,33
810213,193.95,24
450904,0,16
110208,164.5,35
105542,0,19
642108,28.71,20
250129,210.95,59
50867,357.95,53
530916,294.95,20
170084,83.95,56
50032,64,53
577424,132,23
57128,46.95,89
521116,0,2
141645,41.33,70
279167,52.95,34
56479,34.95,45
636463,119,16
609144,48.95,40
505045,207,28
118448,59.4,36
120946,146.67,34
203687,64.95,25
389264,128.95,38
456448,127.95,35
488997,15.95,27
50276,9.42,51
57289,104,53
60548,152.95,31
698887,38.98,33
741387,77,41
261360,34,41
291498,85.95,114
293129,185,22
609400,155.95,32
104962,75,20
111672,45.98,22
112767,104.95,25
58187,158.4,29
286007,172.53,22
554060,147.53,13
54206,107.6,47
537346,306.33,101
50895,120,56
527869,117.33,11
144808,93.6,34
137542,162.67,26
145971,190.67,22
121687,80.67,29
140902,58.95,18
155161,205.35,108
866410,92.95,22
232841,40.95,28
456704,155.95,40
528985,0,28
284518,337.95,42
56047,231.95,27
193460,119,27
534653,89.95,48
159433,59.95,42
54891,12.98,46
54426,55.99,53
109929,84.57,87
52952,117.6,33
53092,16.99,66
60252,369.95,50
60525,248.95,105
112172,0,20
417280,270.25,12
402579,0,29
305662,25.61,25
433391,190,36
120737,197.8,10
133286,89,14
627884,98.33,19
56995,64.95,125
52162,307.95,40
290936,118.95,20
51703,79.95,39
169518,81.95,39
358304,43.95,60
55382,85,62
58418,17.93,46
111210,13.89,78
60551,274.95,43
417312,91.36,25
60262,25.99,37
55454,104.4,40
560324,177,52
51791,103,96
55123,329.95,74
60272,146.67,24
169250,338.95,33
190750,44.95,26
339957,8.12,19
570766,122.95,50
108809,136.34,64
55806,64.95,90
56872,51.95,41
254167,246.95,27
244408,299.95,47
50347,18.96,163
54011,118.2,48
534354,31.99,37
169886,271.95,28
111212,15.99,84
176501,173.95,57
60863,135.95,52
561564,141.07,32
50805,287.95,42
53349,88.95,196
51372,108.95,61
110146,41.6,66
112075,41.25,31
113307,74.95,14
113811,125,14
114218,128,26
115390,105,34
121701,103,54
125828,112.95,28
126146,53.95,74
127258,44.95,28
129715,91,41
131495,113.33,25
132348,140.2,37
139686,299,15
1444437,47.95,12
144950,122.8,41
146899,195,30
1475021,50,23
1533545,89.95,19
1533967,79.95,20
1547810,64.95,15
155475,39.95,52
155480,110,20
1592460,155,19
1594829,144.99,14
160823,26,317
163003,51.89,19
163792,29.19,34
164477,24.84,31
164901,49.35,40
165325,124.5,23
1658522,56.01,16
1658660,49,14
166590,15.88,24
166805,5.99,48
167036,74.6,14
169842,274.95,32
1730498,73,11
182444,34.93,43
1879654,122.95,30
192245,26.95,24
1926967,51.95,14
192748,67.95,22
1957112,54.6,15
197939,84.76,26
199251,58,22
199893,0,46
200244,219.95,45
203643,57.95,45
204814,65,63
205704,50,33
210851,62.95,53
210865,29.95,26
218991,35,15
2247815,38.93,56
225677,84.95,17
225734,79.95,14
2259592,93.49,38
2261370,92.44,38
226233,24.99,106
226729,46,19
228772,64.95,20
2331842,60,15
2332129,79.5,43
2332821,77.4,21
2337041,99.5,26
2339966,84.95,36
2352325,90.25,24
2357841,133.5,31
2371869,90,38
2376475,80,28
2379121,47.22,11
2379125,52,19
2385812,46,40
2407026,72,20
2423280,116.7,45
2435141,39.95,22
2472283,105.95,30
2472503,25,16
249052,69.95,13
251089,160.95,41
251145,70.95,21
2528009,59.95,31
2542334,42.95,16
2545639,105,17
2551227,325,17
2563742,115,10
256772,89.95,20
2570629,112,23
2573545,138.1,44
2618883,49.95,22
2626162,61.95,21
264193,35.95,38
2654451,49.16,13
2663202,139,29
266328,79.95,21
2663871,105,15
2664395,179,24
2672256,86.95,24
2680211,215,16
2699143,110,28
276651,45,32
2823674,114,16
284520,246.95,64
285270,54.38,28
2853586,59.95,25
285508,65.54,32
285690,72.95,33
291284,197.99,20
291593,115.95,45
292313,38.95,21
292903,61.87,30
294137,74.95,32
298368,75.95,73
3083809,179,14
309074,20.67,37
3138950,44.95,27
336248,59.95,14
344174,170,17
346079,226.95,66
348698,75.95,40
391121,54.95,19
422306,0,34
468669,90,32
468675,46,17
51125,235.95,35
526180,22.95,21
529411,70.95,25
529496,99,30
532969,33.4,41
533051,120.95,26
534031,91.95,41
53841,97.95,34
54655,206.75,40
547873,151,34
554718,87.95,22
55499,39,55
563189,69.95,28
567636,197.95,46
567777,150.95,70
577325,52.95,143
579088,32.95,59
57930,44.95,36
581694,37,21
587491,0,29
600113,175,22
60295,113.95,36
606742,65,33
60675,97.6,48
607265,142.2,45
607435,55.6,28
607521,125,53
608178,79,28
608338,20.99,26
608372,167.36,34
608552,38.95,25
609111,152.95,19
61050,245.95,28
614577,35,76
614643,103,71
614939,185,27
617531,88,26
620006,110,38
621184,120,31
622474,105,19
622958,39.99,167
624674,51.6,78
624793,100,24
627011,39.99,41
631092,225,16
632510,37.56,18
648522,49.95,24
650953,65.67,48
650956,66.57,31
652937,59,13
653924,139.95,24
654089,31.95,25
659971,96,8
660386,111,13
665777,65,27
668027,125.95,16
687039,20,16
692352,169.95,37
693981,40.35,63
696489,125,17
697559,52.46,15
697611,36.25,21
704946,24.38,68
710359,36,18
710654,120,21
711350,136.6,21
712203,0,24
726772,83,26
737505,144,20
743184,99,25
757339,23.87,28
757400,29.95,26
757825,100.95,18
758198,49.95,24
760395,70.95,16
763571,66.95,24
765000,92.95,26
765029,89.95,49
765321,144.95,30
767600,92.95,25
774577,53.95,40
788657,66.95,48
789199,66.95,42
789207,35.95,37
794000,66.95,25
797727,58.95,24
830349,59.95,24
832478,85.95,32
850997,63.56,19
852578,16.78,55
859760,84.75,45
862590,36.5,33
867878,16.99,35
868288,74.23,25
868375,68.95,21
870037,220,24
870252,23.23,50
870702,245.95,33
871049,74.95,34
871059,25,98
871096,67,55
872396,58.25,57
873203,59.5,14
873394,26.72,47
874190,38.68,50
874275,28,40
874293,58.95,40
874670,27.99,54
875198,0,21
875639,77.75,14
876065,0,23
876087,20.13,51
876088,25.4,38
876850,58.5,68
876967,121.93,13
877334,10.94,176
877945,0,26
880139,29.9,69
887674,125,13
891382,44.95,17
894251,169.99,16
897976,37.95,13
900733,65,17
901572,110.95,12
902744,42.59,37
903201,120,14
906175,58.64,19
907437,73,15
908097,34.95,18
908117,41,25
908242,0,23
908270,83.95,26
908554,99.95,16
909336,70,27
910871,39.95,17
911200,85,18
911416,59.99,20
912824,43.87,19
913403,71.25,31
916454,39.95,18
917035,52.33,27
917204,83,29
917661,39.95,23
918677,51.95,51
919316,25.95,53
100490,40,18
101250,244.95,37
105733,99.95,22
105771,75,23
106973,49.99,26
107699,0,15
108166,6.11,33
109201,46.5,26
111370,51.65,22
111633,0,12
112761,135,19
113127,89.95,25
113160,97.95,19
113694,142.2,34
114220,126,24
115182,112,27
115677,159.6,14
116643,113.33,23
117598,69.4,18
119563,72.45,24
127669,95,20
127923,99,25
128041,99,14
128120,45,26
130454,107.8,19
131269,98,22
131644,106.4,21
137514,65.99,19
143347,25.5,22
143387,71,19
143410,91.5,16
143435,26,20
1434466,0,10
143480,39.5,15
1446016,147,15
1447647,50.99,32
144834,144,43
1450154,0,6
1450523,44.2,18
145176,44.99,24
145412,64.99,49
145564,46.67,34
1457312,83.8,10
145890,180,25
145892,200.67,25
146207,104,6
146289,225.67,17
1466028,59.95,28
147044,31.95,23
1470567,85,29
147350,94.95,9
147513,134,17
147737,110.95,29
147883,147.95,16
148191,251.95,33
1485374,0,14
1485868,180,18
1517957,79.95,15
152846,89.95,16
152933,89.95,21
154250,76.5,32
154352,76.5,87
155470,115,28
155537,199,16
156982,219.95,18
1570308,0,14
157038,53.95,34
157041,53.95,39
1574831,361.95,12
1588326,104.99,10
1591770,393,13
1593895,175,20
1594170,315,7
1601906,169.95,20
1604667,13.3,12
161704,65,17
1623029,156.95,28
1632797,41.95,8
163454,59.95,21
163777,0,19
163932,29.83,21
1639563,31.95,23
164282,34.95,35
164447,35,55
164747,65,22
165355,122,19
1657565,89.1,14
1657573,91.2,18
1657893,46.52,22
1658112,96.95,12
1658274,102,23
1658512,55,13
1658542,58.79,11
1658757,59,20
1682712,95,12
1684407,49.99,9
169085,80.95,20
169192,100.95,33
1709114,219.99,15
1724727,220,9
1727940,34.95,58
1731771,128.95,14
173576,159,27
174457,110,24
174544,42,31
174658,84,28
1756727,291,11
176533,38.95,20
176676,148.95,29
176854,135.95,27
1769052,99.99,15
176965,184.95,35
1772999,71.25,3
177391,45.95,24
178120,92.95,28
178242,223.95,39
178403,141.4,32
178838,78.95,18
178962,91.95,45
181670,29.95,45
1822338,14.91,8
182875,157.95,37
183073,63.95,41
183904,221.95,20
183960,144.95,53
184271,41.95,18
184280,69.95,31
184346,60.95,43
1845112,35.27,20
1857391,599.95,9
190045,33.95,29
190748,65,19
1908466,34.99,16
192692,99,19
192741,69.95,21
192822,44.95,24
193035,54.95,21
193358,38.95,45
196456,57.95,37
197694,87.06,22
199085,60.95,37
199469,41.95,22
1995730,199.99,11
2030881,209,19
2030919,209,18
203317,99,17
203487,256.5,15
203500,99,30
203508,67.95,38
203651,242.99,13
203661,169.95,46
2042529,67.95,10
2055586,154,12
205808,65,20
2061459,132.95,21
207519,229,11
2078593,120,64
208603,76,28
210804,62.95,25
210810,42.95,24
210993,26.95,56
2116457,84,14
2129325,189,15
2142568,23.98,42
2165428,183.95,21
2165475,96,14
2176873,70,8
219021,75,27
222692,55,16
223004,119.95,15
2231573,52,30
224309,95,10
2243827,39.95,10
224502,64.95,35
224755,374.95,23
2252858,104.26,30
2254487,147.84,48
2255170,29.73,46
2256440,67.06,48
2257243,38.18,57
2260288,55.29,37
2261064,192.94,18
2262114,61.85,36
2262934,59.38,45
227758,76,29
227763,98,16
2302270,126.5,12
2308764,46.95,20
2313438,39.95,15
2323956,60.67,17
2325542,0,28
2325585,0,20
2330659,119.65,19
2331405,136.25,25
2331558,110,17
2332758,123.4,10
2332917,135.78,18
2333538,54.95,21
2334118,109.62,24
2334775,107.25,30
2336358,62.95,27
233796,53,36
2342610,73,51
2343646,58.9,14
2344141,125,26
2362398,220,13
2364221,82,17
2364475,26,16
2369648,125.8,21
2370785,182.45,19
2378053,67.94,22
2385361,72,15
2385368,57.33,25
2386774,117,29
2388804,0,17
2390563,50.69,21
2396889,38,22
2398259,47.95,31
2399372,16.88,52
2399569,27.95,18
2401016,29.95,55
2405109,49.95,42
2407170,76.95,28
2414202,259,13
2415697,110,11
2419398,84,10
2421428,0,18
2423312,0,16
243612,11.45,19
243917,124.95,36
2448746,29.95,16
246645,123.95,20
2470536,65.75,17
2472395,121,21
2473592,16.9,14
2474013,0,20
2487152,34.95,12
2489959,0,14
2490828,57.98,11
250139,179.95,74
250188,118.95,40
2501899,74.95,15
2510935,34.95,46
251112,197.95,44
251143,76.95,22
251157,134.95,38
251161,136.95,80
251165,176.95,51
251166,195.95,45
2525268,99,18
2527946,43.95,31
2532226,33.95,23
2533324,39.95,10
2535610,49.95,12
2538163,33.95,21
2539006,149.95,12
2539042,64.95,12
2543261,185,8
2551059,310,13
2551253,285,20
2551316,85,11
2551462,219,12
2558954,0,19
2559480,115,16
2560175,104.53,25
2560653,160,21
2561449,43.89,26
2563229,50,14
2563389,44.74,28
2565281,275,11
2566292,110,18
2566328,70,39
2566625,150,19
2566714,259.45,17
2566717,135,17
2568380,195,13
2568411,114.61,18
2570386,160,19
2570520,4.99,36
2571568,115,21
2571935,17.99,26
2572478,68.61,32
2572909,110,20
2572912,94.82,24
2573136,0,21
2573283,140,22
2573637,130,16
2574715,199.5,18
2575624,275,19
257582,45.95,23
2575957,200,16
2576518,88.3,24
2577032,95,37
2577568,73.28,25
2577745,64.95,15
2579296,200,13
2579472,42,17
2580105,0,28
258408,77,27
2586394,23.99,16
2586540,120,10
2591249,124.99,22
2591862,30.99,28
2592712,39.95,17
259301,232.95,17
2593553,83.99,16
2594658,125.99,12
2594961,45,17
2595302,34.99,23
2595616,49.95,19
2597182,46.99,11
2597839,73.99,27
2598395,42.95,18
2600065,167.99,19
260045,68.5,18
2606051,35,14
2606413,157.99,11
2606428,119.99,18
2610610,101,18
261063,44.95,23
2611956,104.99,15
261457,80,13
2618036,29.95,18
2618503,39.95,20
2618628,57.95,41
2619009,48.95,18
262291,39.95,23
2626507,95.95,15
2630243,12.95,27
263190,64.95,20
2635246,34.95,80
2646940,79.95,14
264709,49.95,37
2647238,33.95,18
2648746,56.95,32
2658804,59.99,21
266001,49.95,15
2660348,32.75,18
2663532,105,16
2663639,99,17
2663811,22.5,16
2664331,225,11
2664394,49.95,14
2664423,159,15
2664569,199,13
2670756,75.45,13
2671130,0,28
2672184,58,13
2675635,91.05,27
2676382,103.97,17
2678866,120.05,14
2679072,53.95,14
2679225,31,21
2679279,195,17
2679464,159,14
2679912,310,19
2680255,52.5,17
2680305,365,16
2680877,517,11
2681344,96.95,10
2681625,75.99,10
2698440,116,12
2698565,55.95,18
2699043,66.95,13
269966,160,33
270407,20.98,35
2721313,110,9
2729665,22.5,27
2730139,74.58,26
2745402,92.81,12
2758932,159,19
2777467,499,15
2779233,279,14
278352,64.99,29
278553,46.95,37
2788146,33.95,33
2796079,431.79,18
280130,249,7
280301,69.95,15
2806591,29.5,28
2819853,131.99,20
282051,64.11,18
2832465,300,16
2840727,188.95,17
2851320,199.95,10
2851906,134.95,10
285695,190.95,16
286092,31.6,36
2862060,29.95,12
2867311,37.8,13
286991,65,21
2869951,75,11
2874978,121.95,13
2875123,39,25
2876934,54.95,66
288211,47.3,23
2884280,119,1
288790,436.95,11
288829,61.95,62
2892144,155.5,11
2892497,0,11
289311,109,25
289734,41.95,34
292325,78.95,16
293059,19.99,90
293181,100.5,20
293509,101,21
294132,74.95,22
2947495,162.95,21
295906,69.95,18
295980,88.95,25
297858,95.95,57
298600,197.95,50
299444,44.95,25
300031,239,14
3031455,175,14
3033148,124.95,24
3048527,123,25
3049487,139.95,15
3057295,69,25
3058456,59.95,17
3066656,239.95,17
3078764,70,24
3079311,119.95,15
3083752,229,22
3083791,149,16
3084117,64.99,15
3100056,69.95,19
3117819,79.95,15
311859,66.95,24
3128236,39.95,18
3132319,45,12
3134431,41.5,13
314123,72,15
3142703,134,2
314908,105,19
3151071,89.95,10
320886,53,22
320948,43,39
321483,40,26
323634,74.95,19
325631,79.5,13
3262757,41.79,40
326286,87.5,18
3263125,0,29
3264174,37.12,36
336440,60.95,14
